,problem,label
0,học_phí trường bạn là bao_nhiêu,4
1,học_phí trường dhcnhn là bao_nhiêu,4
2,học_phí dhcnhn,4
3,học_phí trường dhcnhn,4
4,học_phí trường đại_học công_nghiệp hà nội,4
5,bao_nhiêu tiền một tín_chỉ ở dhcnhn,4
6,một tín_chỉ ở dhcnhn bao_nhiêu tiền,4
7,bạn làm được những gì,3
8,bạn có_thể làm gì,3
9,bạn làm có_thể làm gì để giúp tôi,3
10,bạn có tài_liệu môn xxx không,5
11,tài_liệu môn xxx,5
12,tài_liệu của môn xxx,5
13,tài_liệu của để làm,5
14,bảo_lưu kết_quả học_tập như thế_nào,6
15,bảo_lưu kết_quả học_tập,6
16,kết_quả học_tập được bảo_lưu như thê nào,6
17,thời_gian học các tiết như thế_nào,7
18,thời_khóa_biểu của trường,7
19,thời_gian các tiết,7
20,thời_gian tiết 1,7
21,thời_gian tiết 2,7
22,thời_gian tiết 3,7
23,thời_gian tiết 4,7
24,thời_gian tiết 5,7
25,thời_gian tiết 6,7
26,thời_gian tiết 7,7
27,thời_gian tiết 8,7
28,thời_gian tiết 9,7
29,thời_gian tiết 10,7
30,thời_gian tiết 11,7
31,thời_gian tiết 12,7
32,thời_gian tiết 13,7
33,thời_gian tiết 14,7
34,thời_gian tiết 15,7
35,bài xxx làm như thế_nào,8
36,bài xxx,8
37,mở trang sinh_viên,1
38,đến trang sinh_viên,1
39,trang sinh_viên,1
40,open trang sinh_viên,1
41,open sv dhcnhn vn,1
42,open sv dhcnhn,1
43,mở sv dhcn,1
44,đến sv dhcn,1
45,mở trang học tiếng anh,0
46,đến trang học tiếng anh,0
47,đến eop,0
48,đến eop edu vn,0
49,mở eop edu vn,0
50,đến eop edu,0
51,mở eop edu,0
52,eop edu,0
53,eop,0
54,eop edu vn,0
55,mở trang học lịch_s đảng,2
56,mở ctpl,2
57,đến ctpl dhcn vn,2
58,ctpl dhcn vn,2
59,ctpl dhcn,2
60,ctpl,2
